filename,overall_entropy,entropy_text,max_section_entropy,packer_detected,section_name_anomaly,num_imports,virtual_size_discrepancy,_pack_indicators
5223_ProcInfo.exe,7.910231,7.921775,7.921775,0,0,1,1,5
5201_ProcInfo.exe,7.910138,7.921774,7.921774,0,0,1,1,5
2067_DCProxyFinder.exe,7.129064,7.234145,7.234145,0,0,1,1,5
3047_zkecap.exe,7.804432,0.0,7.89451,1,3,4,1,5
3099_zkecap.exe,7.804432,0.0,7.89451,1,3,4,1,5
1913_ApowerMirror.exe,7.994438,7.998252,7.998252,0,0,1,1,5
4211_AnyDesk.exe,7.999769,6.553273,7.999976,0,1,0,0,4
2718_Microsoft.VisualStudio.Setup.ToastNotification.exe,7.742348,5.834518,7.946752,0,0,1,1,4
2267_MicrosoftEdgeUpdateSetup.exe,7.931494,6.640837,7.985273,0,1,143,1,4
4567_ClipUp.exe,7.284398,7.44682,7.44682,0,2,267,1,4
4307_mysql_configurator.exe,7.02357,7.018718,7.109351,0,0,1,1,4
2271_MicrosoftEdgeUpdateSetup_X86_1.3.241.15.exe,7.931494,6.640837,7.985273,0,1,143,1,4
4206_Docker Desktop Installer.exe,7.995383,6.11707,7.999988,0,1,46,1,4
4205_Install Termius.exe,7.999977,6.450282,7.283516,0,1,165,1,4
108_Docker Desktop Installer.exe,7.576466,7.603293,7.603293,0,0,0,0,4
3045_rptviewer.exe,7.879461,0.0,7.916944,1,2,11,0,4
3086_Install Termius.exe,7.999977,6.450282,7.283516,0,1,165,1,4
3057_AnyDesk.exe,7.999385,6.548056,7.999958,0,1,0,0,4
5669_mobsync.exe,7.099548,6.232028,7.344301,0,1,80,1,4
690_Uninstall MstyStudio.exe,7.751589,6.450282,7.202497,0,1,165,1,4
3098_rptViewer.exe,7.879461,0.0,7.916944,1,2,11,0,4
1914_ApowerMirrorWiFi.exe,7.421976,7.826042,7.826042,0,0,0,0,4
5825_WerFaultSecure.exe,7.10035,6.428747,7.305975,0,1,166,1,4
2722_vs_installer.exe,7.747561,6.024792,7.947444,0,0,1,1,4
2724_vs_installershell.exe,7.747651,6.024792,7.947444,0,0,1,1,4
2725_vs_layout.exe,7.275167,5.866379,7.947827,0,0,1,1,4
2752_uninstall.exe,7.324769,6.098215,7.289868,0,1,163,1,4
2756_aitstatic.exe,7.299366,6.319816,7.781302,0,1,165,1,4
2728_setup.exe,7.211403,6.616349,7.935515,0,1,94,1,4
2729_BackgroundDownload.exe,7.392436,6.037284,7.930703,0,0,1,1,4
2129_MEARWSetup.exe,7.771553,6.426765,7.883129,0,1,234,0,3
4215_filmora-idco_64bit_full1901.exe,7.999888,6.375879,6.375879,0,1,122,1,3
5248_HPDCSetup.exe,7.989765,6.478462,6.478462,0,1,163,1,3
4213_Manus Installer.exe,6.694918,6.617772,7.935582,0,0,1,1,3
4212_velociraptor.exe,6.406727,6.150181,7.795814,0,1,279,1,3
5256_HPDCPatch.exe,7.98851,6.489112,6.489112,0,1,163,1,3
550_pwcat.exe,3.727182,5.013402,5.013402,0,1,16,1,3
4204_Lens Setup 2026.4.151333-latest.exe,7.999994,6.450282,6.865165,0,1,165,1,3
4515_AutoCatHost.exe,7.5011,6.219919,7.517767,0,1,139,0,3
4222_uninstall.exe,7.433517,6.500262,7.426159,0,2,646,1,3
825_Orange-Uninstall.exe,6.213259,6.482222,7.221202,0,1,163,1,3
5240_HPDCSetup.exe,7.989764,6.478462,6.478462,0,1,163,1,3
1898_Wireshark.exe,6.897191,6.329026,7.257975,0,1,4206,1,3
598_openssl.exe,6.609672,6.326722,7.370043,0,1,1626,1,3
5232_HPDCSetup.exe,7.989765,6.478462,6.478462,0,1,163,1,3
3_iTunes Installer.exe,6.826176,6.748915,7.935506,0,0,1,1,3
4576_colorcpl.exe,6.263697,3.673168,7.273026,0,1,26,1,3
5275_HPDCSetup.exe,7.989765,6.478462,6.478462,0,1,163,1,3
804_vc_redist.x64.exe,7.996598,6.507866,6.507866,0,1,285,1,3
5265_HPDCSetup.exe,7.990032,6.478462,6.478462,0,1,163,1,3
5264_HPDCPatch.exe,7.988515,6.489112,6.489112,0,1,163,1,3
4200_OAE-Win-x86_64-release_5.2.2.exe,7.997997,6.440106,6.440106,0,1,155,1,3
4199_nmap-7.95-setup.exe,7.999961,6.41581,6.41581,0,1,165,1,3
4491_aitstatic.exe,7.201571,6.321336,7.735659,0,2,200,1,3
5257_HPDCSetup.exe,7.990033,6.478462,6.478462,0,1,163,1,3
3044_Att.exe,7.974093,0.0,7.999921,0,1,20,0,3
3087_draw.io-29.6.1-windows-installer.exe,7.999969,6.450282,6.450282,0,1,165,1,3
1812_vmmap64.exe,7.773131,6.473502,7.946803,0,3,381,1,3
1811_vmmap.exe,7.806745,6.592544,7.870505,0,2,374,1,3
4792_MRT.exe,7.53131,6.387569,7.525264,0,2,279,1,3
219_git-bash.exe,7.515437,5.981185,7.873607,0,0,85,1,3
3287_Uninstall-Anaconda3.exe,4.220339,6.485552,7.660218,0,1,166,1,3
4936_rstrui.exe,6.536023,6.221564,7.217799,0,1,272,1,3
4848_OptionalFeatures.exe,6.380421,5.341463,7.297655,0,1,84,1,3
4843_OneDriveSetup.exe,7.972235,6.285873,7.996569,0,1,611,0,3
4924_resmon.exe,6.458193,3.558663,7.469767,0,1,44,1,3
220_git-cmd.exe,7.523952,5.981185,7.88182,0,0,85,1,3
4859_perfmon.exe,6.668983,6.087174,7.506898,0,1,184,1,3
4686_Fondue.exe,6.394945,5.4184,7.290079,0,1,83,1,3
225_git-gui.exe,7.53535,5.981185,7.888352,0,0,85,1,3
3097_Att.exe,7.974093,0.0,7.999921,0,1,20,0,3
1665_vmmap.exe,7.806745,6.592544,7.870505,0,2,374,1,3
1666_vmmap64.exe,7.773131,6.473502,7.946803,0,3,381,1,3
648_Uninstall Joplin.exe,7.667253,6.450282,6.699206,0,1,165,1,3
608_iediagcmd.exe,6.460652,5.205302,7.237427,0,1,50,1,3
1940_gnupg-uninstall.exe,7.235513,5.930796,7.192482,0,1,165,1,3
5025_tcblaunch.exe,6.6874,6.653417,6.653417,0,1,0,1,3
1911_RdrServicesUpdater.exe,7.999608,6.593175,7.999792,0,1,120,0,3
230_gitk.exe,7.535426,5.981185,7.888352,0,0,85,1,3
4196_OAE-Win-x86_64-release_5.2.2.exe,7.997997,6.440106,6.440106,0,1,155,1,3
1919_WXUsbMaker.exe,7.769123,6.634171,7.792194,0,1,122,0,3
4991_sppsvc.exe,7.140702,7.205738,7.205738,0,5,301,0,3
4990_SppExtComObj.Exe,7.214655,7.544285,7.544285,0,2,172,0,3
4195_nmap-7.95-setup.exe,7.999961,6.41581,6.41581,0,1,165,1,3
5853_installer.exe,7.999993,6.450282,6.698071,0,1,165,1,3
5156_winresume.exe,6.571872,6.538992,6.538992,0,1,0,1,3
5155_winload.exe,6.582446,6.547021,6.547021,0,1,0,1,3
5149_wusa.exe,6.447924,6.033861,7.231677,0,1,235,1,3
4223_uninstall.exe,7.981642,6.406317,7.983205,0,2,698,1,3
4607_Defrag.exe,6.687646,6.007899,7.513752,0,1,176,1,3
4700_GenValObj.exe,7.126747,7.292551,7.292551,0,2,186,0,3
2927_adpcmencode3.exe,7.306354,7.316087,7.316087,0,0,71,0,3
2719_setup.exe,6.693821,6.636036,7.952544,0,0,1,1,3
1515_uninstall.exe,7.079817,6.03971,7.186321,0,1,159,1,3
2750_pexplorer.exe,7.36305,0.0,7.925301,0,3,509,1,3
2146_MEARWSetup.exe,7.771553,6.426765,7.883129,0,1,234,0,3
2753_vlc-cache-gen.exe,7.202972,6.261853,7.296192,0,3,75,1,3
549_grcat.exe,3.789487,5.193966,5.193966,0,1,17,1,3
2758_appcertui.exe,7.078301,7.137914,7.137914,0,0,0,0,3
1837_Velociraptor.exe,6.365048,6.138103,7.795946,0,1,279,1,3
2137_MEARWSetup.exe,7.771553,6.426765,7.883129,0,1,234,0,3
5117_winresume.exe,6.571872,6.538992,6.538992,0,1,0,1,3
5115_winload.exe,6.582446,6.547021,6.547021,0,1,0,1,3
426_nettle-lfib-stream.exe,3.921186,5.300248,5.300248,0,1,19,1,3
2354_OSPPSVC.EXE,7.270889,7.177047,7.908943,0,0,216,0,3
