filename,label,md5,sha256,file_size,overall_entropy,is_pe,e_lfanew,machine,num_sections,timestamp,size_of_code,size_of_init_data,size_of_uninit_data,entry_point,image_base,section_alignment,file_alignment,major_os_version,minor_os_version,major_image_version,minor_image_version,major_subsystem_version,minor_subsystem_version,size_of_image,size_of_headers,checksum,checksum_valid,zero_checksum,subsystem,dll_characteristics,num_rva_and_sizes,num_sections_text,num_sections_data,num_sections_rsrc,num_sections_rdata,num_sections_reloc,entropy_text,entropy_data,entropy_rsrc,entropy_rdata,entropy_reloc,max_section_entropy,min_section_entropy,avg_section_entropy,num_high_entropy_sections,section_name_anomaly,packer_detected,iat_size,num_imports,num_exports,has_tls,num_strings,avg_string_len,has_url_string,has_registry_string,suspicious_entry_point,virtual_size_discrepancy
1000_mm2gv.exe,benign,02b72bab7584c18b5e6965f0ffa16620,ac91667452f66b4b6d1778020896eac95425073f8b94c0bdc27f69e1bdd5d18b,19968,7.448748,1,264,34404,3,1749896539,20480,4096,40960,61056,5368709120,4096,512,6,0,0,0,6,0,69632,1024,0,0,1,3,33120,16,0,0,1,0,0,0.0,0.0,4.1251,0.0,0.0,7.747126,0.0,3.957409,1,2,1,0,13,0,0,303,7.05,0,0,0,0
1001_moc.exe,benign,d189e3b2ab0a0388efcceca7fd8f133a,bc6ac3540c6c7ab60abfe2eb0fcd0efe393ec10f5cef0c4c8ea3a4ef992ad3aa,433664,7.918612,1,288,34404,3,1747025569,430080,4096,884736,1317280,5368709120,4096,512,6,0,5,15,6,0,1323008,1024,0,0,1,3,33120,16,0,0,1,0,0,0.0,0.0,4.319301,0.0,0.0,7.925867,0.0,4.081723,1,2,1,0,19,0,1,6975,5.22,0,0,0,0
1002_ms2mit.exe,benign,3624854a9054af79dc9bd9ca861360b7,05b072f33663f1d04e5b8224ffed4c55f7baf567dec825d8b9c17dd6d4ffae78,10240,6.245234,1,256,34404,3,1719463607,8192,4096,32768,42192,5368709120,4096,512,6,0,0,0,6,0,49152,1024,0,0,1,3,33120,16,0,0,1,0,0,0.0,0.0,3.198873,0.0,0.0,7.360837,0.0,3.519903,1,2,1,0,15,0,0,160,7.53,0,0,0,0
1003_neato.exe,benign,e7a993ff8afe3d91c14f8a59ec2800be,25fcfcee67b28589eaddf53d928138322a3681023c20792726aea759caab5fbd,8192,6.472791,1,256,34404,3,1749896532,8192,4096,28672,37168,5368709120,4096,512,6,0,0,0,6,0,45056,1024,0,0,1,3,33120,16,0,0,1,0,0,0.0,0.0,3.93688,0.0,0.0,7.309358,0.0,3.748746,1,2,1,0,12,0,0,126,9.98,0,0,0,0
1004_nop.exe,benign,158fe1f622a263fa08420aa1703b1053,e78b049be52cfa179e200476081eeed63ea40652f7278db20dee0d219ddc8e01,8192,6.688207,1,256,34404,3,1749896536,8192,4096,32768,41536,5368709120,4096,512,6,0,0,0,6,0,49152,1024,0,0,1,3,33120,16,0,0,1,0,0,0.0,0.0,3.949301,0.0,0.0,7.544489,0.0,3.831263,1,2,1,0,12,0,0,145,9.46,0,0,0,0
1005_openssl.exe,benign,ab38b64b1ba120e2fd49dc80746599e6,2d090fadf9b8761c4ec134abe6d76b6fb94cd355605abc197fdc68cac9a338e4,304128,7.934122,1,256,34404,3,1746226929,303104,4096,573440,876912,5368709120,4096,512,6,0,0,0,6,0,884736,1024,0,0,1,3,33120,16,0,0,1,0,0,0.0,0.0,3.529178,0.0,0.0,7.945392,0.0,3.824857,1,2,1,0,19,0,0,5099,5.0,1,0,0,0
1006_opj_compress.exe,benign,79d4bbfccbd5f1877e73c5ff407c1310,0e7d1ae37d50b6ef45f76fbf15855623fb34d717100e93e5eba048c43f464505,38912,7.795371,1,272,34404,3,1733816708,36864,4096,65536,105040,5368709120,4096,512,6,0,0,0,6,0,110592,1024,0,0,1,3,33120,16,0,0,1,0,0,0.0,0.0,4.578339,0.0,0.0,7.893118,0.0,4.157152,1,2,1,0,16,0,0,692,6.04,0,0,0,0
1007_opj_decompress.exe,benign,5c12313bd4fdeac86d18c01524a1dde9,f6110f525e26003438cb4cbe1e2f4dad7bd9cc2055b7a6f7150b228c328bee55,34816,7.708653,1,272,34404,3,1733816708,32768,4096,57344,92096,5368709120,4096,512,6,0,0,0,6,0,98304,1024,0,0,1,3,33120,16,0,0,1,0,0,0.0,0.0,3.819507,0.0,0.0,7.877977,0.0,3.899161,1,2,1,0,17,0,0,580,6.25,0,0,0,0
1008_opj_dump.exe,benign,f9123962f9e2136539c7d8e5d6e54fd1,720280a7f121df569441e531f248b31d4bff65e7c02277edf600362f4bd68253,14848,7.344443,1,280,34404,3,1733816708,12288,4096,36864,52208,5368709120,4096,512,6,0,0,0,6,0,57344,1024,0,0,1,3,33120,16,0,0,1,0,0,0.0,0.0,4.14273,0.0,0.0,7.749932,0.0,3.964221,1,2,1,0,13,0,0,284,7.55,0,0,0,0
1009_osage.exe,benign,e7a993ff8afe3d91c14f8a59ec2800be,25fcfcee67b28589eaddf53d928138322a3681023c20792726aea759caab5fbd,8192,6.472791,1,256,34404,3,1749896532,8192,4096,28672,37168,5368709120,4096,512,6,0,0,0,6,0,45056,1024,0,0,1,3,33120,16,0,0,1,0,0,0.0,0.0,3.93688,0.0,0.0,7.309358,0.0,3.748746,1,2,1,0,12,0,0,126,9.98,0,0,0,0
100_docker-model.exe,benign,f15d0c76ed737a5f10e2787f234746bf,8a70b4f585898ecf260c72d2f9e4a16fdcd4b74eeb96dfb336657c2a3c51a603,9060784,7.923673,1,128,34404,3,0,9052160,4096,20324352,29376976,5368709120,4096,512,6,1,1,0,6,1,29384704,512,0,0,1,3,33120,16,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,7.923793,0.0,3.121932,1,3,1,0,4,0,0,133646,4.89,1,0,0,0
1010_pal2rgb.exe,benign,a597100e9012dae11b3f0796f14fffa7,36a70d294164e187207338f977dc48cca392e6e60c6304815fbabe1801701991,11264,6.760723,1,272,34404,3,1747067153,8192,4096,32768,43600,5368709120,4096,512,6,0,0,0,6,0,49152,1024,0,0,1,3,33120,16,0,0,1,0,0,0.0,0.0,3.723673,0.0,0.0,7.672141,0.0,3.798605,1,2,1,0,13,0,0,198,8.51,0,0,0,0
