filename,label,md5,sha256,m2_score,m3_score,m4_score,m4_source,num_apis,m1_score,m4_active,fts,threat_level
8d6cf0b18fdc665fe20e6c125d8523a5c8e638727ac6f7812e8a2d3886d324b6cb9a7c9e2a11a61f73dbd8986b99f1ecce2703e5119c7b2e47c9ec806d1d2fb629d0c266c6c376c690c468ed450e9f24ddd2f13bcafada1e1bd15dc49881e982f3af2388.exe,blaster,c3c0ecc8fd2f1b642e9cd002a01b02e5,9180e60c6994ae81ccdfd03d5a5ab63640d8f42028b92eba4b3678dfa806f287,0.97,0.9873558994197292,1.0,cnn_lstm,70,0.0,True,0.983285,CRITICAL
8d7b736c32fef2521788e80ba5a376431c2d2186ef189649b04f6663e9b5a389525b406af0d7f02b421069e83c82205e668dfb8de59f5e57b9fa0b900c84fd0a9c78ebd50954fad1f94f02ac6613e91653785bf2dcfca473f10c85e678e312be009d3717.exe,blaster,46b74c1af10921d5ec056b1583544bdd,4d450b63205a0f0f8d4fcefc213889db98317de817c399d756c34aee9ed32223,0.0,0.9998866877599129,0.0,abstained_no_imports,0,0.0,False,0.444394,MEDIUM
8d8d7f96c845af13ff3006b80f2eb92cb027cb7fac2e75251282679b5154f16327913fd61e4a66c766e38d1df5ceec9f1216fdd316ab0f99b443523555ad5ebc0109fdc9f2b8771c0b3ba6c3a0df3b34bf8bca94b5255442f8af255c95c9de9a43f3bbf9.exe,blaster,58371a7c1373a6355e26c3e05aab3394,d784c1046b84cb159f8bc6283793c3e83c352f920bf2256a38facc4b78881e18,0.0,1.0,0.8754,cnn_lstm,35,0.0,True,0.552183,HIGH
8d67a0b8ad6f35e3eec4cd66426207256f86150143c74aa2fbfe633b3c0fed9608e7c85fd17dfc97e37ab26f0228fbfcd843141b4c2e168dc913c9ec0ac6d9ffb1377b0cf5895aed0f67c0af341431a7a65866df656c0051360c0eea6fe04fafccd74fc7.exe,blaster,6e0585fd1f1c98e6c9433b8d570163e6,f377b67cf1bdf886c36810b6c6f28aa349d1df665a7ef76786a26f25c072823e,0.99,0.9995923033344284,0.999852,cnn_lstm,8,0.0,True,0.99566,CRITICAL
8d93aec6ebddda884910d9198a4d6414ed14d0c7ae5d5e7e3c2daba6c349a4686c79e2a822b4276d6597da9cba5c3547ecd2af400d93b7703bb6e5b5cbd229f98a23948a08e67acc66a56acac76bfabb610096dd5ea03357b3bb40c92382fce9dacda276.exe,blaster,0f5523f3e15ccbf7ef81c3d3375f3a19,d391707012c01302aa260ee1393d2bdd6cc184511e7db2a0ff8b8325419e8f33,0.0,0.9966666666666668,0.0,abstained_no_imports,0,0.0,False,0.442963,MEDIUM
8d947d9008c390942c453b46314cad0a1d9a0bc2ecf118025311ad431e145ba4c5707de0df46bdae33d237fa71b4408a4a23150dca0f390a1798e8d281ee5dbe91342ff74e1d00355437f545efb26f10abf5a44f5a82cbb9200351e787514d2d8f2763fb.exe,blaster,5c199b4a94ef8740224dc38ac384afa9,3a64b981f20f69a59896bb2ccfe13b83d44b7f26633062f4d2af9fdeb6c17196,0.0,1.0,0.0,abstained_no_imports,0,0.0,False,0.444444,MEDIUM
8d99532e851943bff3d57f75b02fd8cfbf6084c2f85a6edae238795b91c061facf4a8ec21379583119c5bbaef6bf2b9c59d9296be940986de63bdd6b01f03091015181353b876720197508d3901a73e11d9d5f125de9cca1379d062462b1b0d899f87774.exe,blaster,621b89cdfd9ee242568ec1675d15399d,9bb8865d3c0fef4b2ad017788c9a3334431b638cbe7aa0bcbea91d6ace901b24,0.96,1.0,1.0,cnn_lstm,100,0.0,True,0.983333,CRITICAL
8db57d10f336b3bcaa1302ce6eda6e2a652853ab2e0271dc5c76bd5713faa4551109237eaf375ed48b4601c39dfcc828b37eb54bbfd2441c0070a17c0c7b9513ce5a30585ba7975e480ecb5d88cfa8b61e7143e163a2e2672bea24eba068bdcbc3429471.exe,blaster,33c33a3cc62a01bfce144457fc9feb22,75ebb7b0d2c546b0bcc686400925b252e45e9f074c1a68767b280099e14da246,0.86,0.9999827878371332,0.999942,cnn_lstm,7,0.0,True,0.941646,CRITICAL
8dc119d1279af2d0998022352aa1a065b09797628b3ff5126311dc7f728b808e12723eb411c87a030db4f93b6f453a04661f8ba4915964b65c61ac860821fcaccd465be1facce8c134fb99cd7631ce45953c4c2ca1fed474b5c763588eb4f9cb59556054.exe,blaster,f05ab28a6b1b7cdcfbb2b94d9e4222ff,ba911b37bbded7418e9ccfebaaa22dc684a8735d2f8d01e787a55a6b1ec9e163,0.0,1.0,0.0,abstained_no_imports,0,0.0,False,0.444444,MEDIUM
8dcf498d6d97a2b52cad2243335f2d1bb98fdb3ddc2ba1404d81b4a8813b6f287958a27e04d2f120128449ed5b2b931926695cac30025da3076866ccbd6c9de71113de191611e3a6bc649f84e8c196fad8b59948e1493050ae59b65a6d20d96b4e2dce65.exe,blaster,c65d543a6c307ccf0bf1929c66dfd1ae,361591bbd6e6489e6cb7df776da6911fc50d6eada156d501b74945b314c4babf,0.91,0.9999827288428323,0.0,abstained_no_imports,0,0.0,False,0.949992,CRITICAL
