filename,m3_malware_score,predicted_class,false_positive
1000_mm2gv.exe,0.820626,0,True
1001_moc.exe,0.863169,0,True
1002_ms2mit.exe,0.82125,0,True
1003_neato.exe,0.814583,0,True
1004_nop.exe,0.775626,0,True
1005_openssl.exe,0.866556,0,True
1006_opj_compress.exe,0.83259,0,True
1007_opj_decompress.exe,0.82884,0,True
1008_opj_dump.exe,0.786626,0,True
1009_osage.exe,0.814583,0,True
100_docker-model.exe,0.836812,0,True
1010_pal2rgb.exe,0.775626,0,True
1011_pango-list.exe,0.770626,0,True
1012_pango-segmentation.exe,0.770626,0,True
1013_pango-view.exe,0.795626,0,True
1014_patchwork.exe,0.814583,0,True
1015_pcre2grep.exe,0.84818,0,True
1016_pcre2test.exe,0.853169,0,True
1017_pixeltool.exe,0.81634,0,True
1018_pkgdata.exe,0.83259,0,True
1019_png-fix-itxt.exe,0.780626,0,True
101_docker-offload.exe,0.836812,0,True
1020_pngfix.exe,0.82134,0,True
1021_ppm2tiff.exe,0.775626,0,True
1022_proj.exe,0.795626,0,True
1023_projinfo.exe,0.82759,0,True
1024_projsync.exe,0.82759,0,True
1025_prune.exe,0.780626,0,True
1026_psicc.exe,0.84818,0,True
1027_qcollectiongenerator.exe,0.782293,0,True
1028_qconvex.exe,0.850977,0,True
1029_qdbus.exe,0.815626,0,True
102_docker-pass.exe,0.836812,0,True
1030_qdbuscpp2xml.exe,0.84259,0,True
1031_qdbusviewer.exe,0.879244,0,True
1032_qdbusxml2cpp.exe,0.82634,0,True
1033_qdelaunay.exe,0.850977,0,True
1034_qdistancefieldgenerator.exe,0.83759,0,True
1035_qgltf.exe,0.863169,0,True
1036_qhalf.exe,0.850977,0,True
1037_qhelpgenerator.exe,0.83259,0,True
1038_qhull.exe,0.845977,0,True
1039_qlalr.exe,0.83759,0,True
103_docker-sandbox.exe,0.836812,0,True
1040_qmake.exe,0.847336,0,True
1041_qml.exe,0.889244,0,True
1042_qmlcachegen.exe,0.851037,0,True
1043_qmleasing.exe,0.81509,0,True
1044_qmlformat.exe,0.84259,0,True
1045_qmlimportscanner.exe,0.83759,0,True
1046_qmllint.exe,0.84259,0,True
1047_qmlmin.exe,0.82759,0,True
1048_qmlplugindump.exe,0.83759,0,True
1049_qmlpreview.exe,0.83259,0,True
104_docker-sbom.exe,0.826812,0,True
1050_qmlprofiler.exe,0.83759,0,True
1051_qmlscene.exe,0.82509,0,True
1052_qmltestrunner.exe,0.81375,0,True
1053_qmltime.exe,0.786626,0,True
1054_qmltyperegistrar.exe,0.83759,0,True
1055_qscxmlc.exe,0.84259,0,True
1056_qtattributionsscanner.exe,0.82509,0,True
1057_qtdiag.exe,0.82509,0,True
1058_qtpaths.exe,0.791626,0,True
1059_qtplugininfo.exe,0.786626,0,True
1060_QtWebEngineProcess.exe,0.84943,0,True
1061_qvkgen.exe,0.785626,0,True
1062_qvoronoi.exe,0.850977,0,True
1063_qwebengine_convert_dict.exe,0.85943,0,True
1064_raw2tiff.exe,0.786626,0,True
1065_rbox.exe,0.790626,0,True
1066_rcc.exe,0.868223,0,True
1067_rdjpgcom.exe,0.82759,0,True
1068_repc.exe,0.84259,0,True
1069_sccmap.exe,0.775626,0,True
106_7zr.exe,0.789117,0,True
1070_sfdp.exe,0.814583,0,True
1071_sqlite3.exe,0.852336,0,True
1072_sxpm.exe,0.790984,0,True
1076_testcon.exe,0.85318,0,True
1077_testsolv.exe,0.786626,0,True
1078_tiff2bw.exe,0.781626,0,True
1079_tiff2pdf.exe,0.83259,0,True
107_courgette64.exe,0.870253,0,True
1080_tiff2ps.exe,0.82134,0,True
1081_tiff2rgba.exe,0.781626,0,True
1082_tiffcmp.exe,0.781626,0,True
1083_tiffcp.exe,0.820626,0,True
1084_tiffcrop.exe,0.83259,0,True
1085_tiffdither.exe,0.775626,0,True
1086_tiffdump.exe,0.786626,0,True
1087_tiffinfo.exe,0.786626,0,True
1088_tiffmedian.exe,0.795376,0,True
1089_tiffset.exe,0.780626,0,True
1090_tiffsplit.exe,0.780626,0,True
1091_tificc.exe,0.83759,0,True
1092_tjbench.exe,0.83259,0,True
1093_tracegen.exe,0.868223,0,True
1094_transicc.exe,0.85318,0,True
1095_tred.exe,0.780626,0,True
1096_twopi.exe,0.814583,0,True
1097_uic.exe,0.845977,0,True
1098_unflatten.exe,0.780626,0,True
