filename,label,num_apis,has_process_injection,has_network_c2,has_persistence,has_anti_debug,has_priv_escalation,matched_behaviors,m4_score_rules,m4_score,m4_source
00cd3b0cb62286eb38eed8485557f0fb6f00f72ddd7d157af12d81bde99960e885a036a378e67ba27f775ce2d037815f837c34234f3815fabce34d4c2ffe45707533c38502fcffba853f1422a2c5a24ba98a06345737d54afd4c1e67daa5951a2aadffc3.exe,blaster,53,0,1,1,0,0,Timing Evasion|Network+Persistence Combo,0.5,0.999998,cnn_lstm
00cfded0d971cc6c35c6bc4e474a70ce8748dd0f60e570c85cbf025072d71fadea1e67456dad603ea2739bed3952979d15a26323371a56b61b317c5a4bd111de5bc2bdc96a3021f10c2518cc5ffe182ecbb6cbae9bbfcdb14361720dafe8445b64d49679.exe,blaster,70,0,0,0,0,1,Privilege Escalation,0.7,1.0,cnn_lstm
00d747e63db617b52d18622d9e61e14c56455c43b5350009caeda8607b847f0c2155fc8f9fa7a8225d7f7fa346acb210872ea74b1b13af3f5f74c4355db753369e515a1ca8d91cf341020c44234e437947d4030c8e7dd112882372fb83b12b3da43d269d.exe,blaster,7,0,0,0,0,0,,0.0,0.999681,cnn_lstm
0a0a19889c33801fbac5b9e5b04fd9b48fb593c6d9b23328753c8c13bcc5b11583a483e86bb5ba6ab8b114f68d96e667540df0b053aaea5abb1fcd20513e1f57460891922cb621cb2824f8151528ce737c644644f47b5779643b40ced0435a514a0b824d.exe,blaster,0,0,0,0,0,0,,0.0,0.0,abstained_no_imports
0a0df95f27202962015453d89d765c0cb841500944da2e8534bf00bb5dc1ffed9352d7b271971891078cb8dee8f714e08f7ff205ec29d04eccfe6821e2d092f8a2cf082a58604eeb78117338abd0b1827c0bbae72f7a9ee456e40f97901f95957f688f3b.exe,blaster,7,0,0,0,0,0,,0.0,0.999842,cnn_lstm
0a19f3409ad92820342a8f19af995f0688d09e25c795c57a1ce15964e5f28e5a20630277a2fc3baa33a04af32410da07a1cb9b389733ed62b2f0101a1308dc5823a86328e60a25660181158c1119f8bbca6f35a9218f0af37e4b036e0dc8208743f17240.exe,blaster,0,0,0,0,0,0,,0.0,0.0,abstained_no_imports
0a74e7c5b4b09ea2c78d618f391ca06f8f0de3e48d14997ec18ebc24ca268c4d4da2ae020d9f022c44423df91b49806a04ad7962cd1af559f12ca15ed3e2adbcc4340d97ab622c0116779e7055ebe8f3859d595d819974c75b88395b0b7752f9d95a9773.exe,blaster,0,0,0,0,0,0,,0.0,0.0,abstained_no_imports
0a594f28a9f56eaf708d708a3359b7c43ef8440fba4a43a3994d9481f3f59ee49cdc16414538b49c5746a813cb713724f47778778810ac80562029c158c51b5015128cec8de0b254f180d7db83bfa65ba1742f5222d8fdb2ce06eab39df821e345d53ae9.exe,blaster,0,0,0,0,0,0,,0.0,0.0,abstained_no_imports
0ac971a479c57cdae411a79efdb974b5ba7b89e6476ca4ec99b3561932ef6827b2b52820e6da07c51192459d124e64fd77181a5d15db4a96b261be0fef329b086eadad5edad49eba5fc27e3c9964d53e6c84b289a374ff557102fbd84057a3b41173686c.exe,blaster,0,0,0,0,0,0,,0.0,0.0,abstained_no_imports
0ace17067ee44040a5852ffb374d8e956cc5deaaf0f384660cdb718673d44547a6b440134b506684007b992c8077a657cc41adacafe83b63028cdff26a1eff1c6be303522c3c0fe2a3d908e189b07b52fb46c35786c1f7854de2f852bed94bac1e494bec.exe,blaster,53,0,1,1,0,0,Timing Evasion|Network+Persistence Combo,0.5,1.0,cnn_lstm
